ID sample_1 sample_2 value_1 value_2 q_value
A1BG C E 0.0125291 0.0227303 1
A1BG-AS1 C E 0 0 1
A1CF C E 0.0199051 0.0161961 1
A2M C E 0 0 1
A2M-AS1 C E 0.276765 0.252669 1
A2ML1 C E 0.00582647 0 1
A2MP1 C E 0 0 1
A3GALT2 C E 0.0566672 0 1
A4GALT C E 43.3508 24.8291 0.000259295
A4GNT C E 0 0 1
AA06 C E 0 0 1
AAAS C E 26.7009 20.7231 0.0191096
AACS C E 19.5914 17.884 0.447608
AACSP1 C E 0.135388 0 1
AADAC C E 0.0578274 0 1
AADACL2 C E 0 0 1
AADACL2-AS1 C E 0 0 1
AADACL3 C E 0 0 1
AADACL4 C E 0 0 1
AADACP1 C E 0.0186021 0 1
AADAT C E 4.11031 3.27711 0.11384
AAED1 C E 15.5896 11.9911 0.0374824
AAGAB C E 24.5556 29.5859 0.103105
AAK1 C E 4.94774 5.65464 0.215649
AAMDC C E 13.8688 31.6559 0.000259295
AAMP C E 48.5085 51.4055 0.642156
AANAT C E 0.142429 0.0969128 1
AAR2 C E 19.9839 21.9894 0.433279
AARD C E 0.0411122 0.0121439 1
AARS C E 85.3208 148.321 0.000259295
AARS2 C E 6.49328 6.00985 0.564484
AARSD1 C E 27.0021 18.3808 0.00132463
AASDH C E 2.35021 3.30557 0.0115351
AASDHPPT C E 21.857 23.8727 0.475726
AASS C E 0 0.00364259 1
AATBC C E 0.19244 0.246698 1
AATF C E 53.6843 50.1157 0.567987
AATK C E 0.0669388 0.0841117 1
AATK-AS1 C E 0 0 1
ABALON C E 4.38745 4.86502 0.854634
ABAT C E 0.0308333 0.135704 1
ABCA1 C E 17.4638 10.7641 0.000259295
ABCA10 C E 0.0325172 0.0634941 1
ABCA11P C E 2.93777 3.81225 0.30346
ABCA12 C E 0.00260827 0.00704913 1
ABCA13 C E 0 0.00324953 1
ABCA17P C E 0.014903 0 1
ABCA2 C E 14.4509 10.0956 0.000259295
ABCA3 C E 0.861672 3.55124 0.000259295
ABCA4 C E 0.548909 0.547266 1
ABCA5 C E 0.998834 1.84927 0.000259295
ABCA6 C E 0.00366774 0.011718 1
ABCA7 C E 4.80258 6.55013 0.00281634
ABCA8 C E 0 0.013859 1
ABCA9 C E 0.00338479 0 1
ABCA9-AS1 C E 0 0 1
ABCB1 C E 0 0 1
ABCB10 C E 5.57819 8.68743 0.000259295
ABCB11 C E 0 0.00372061 1
ABCB4 C E 0.00603656 0 1
ABCB5 C E 0.0149617 0.00498013 1
ABCB6 C E 10.6602 14.4129 0.0086321
ABCB7 C E 28.5327 22.903 0.0393323
ABCB8 C E 10.4293 12.3952 0.118039
ABCB9 C E 8.04301 8.37265 0.788977
ABCC1 C E 43.1044 29.0246 0.000259295
ABCC10 C E 3.80383 4.6382 0.128676
ABCC11 C E 0.0343702 0.025751 1
ABCC12 C E 0 0 1
ABCC13 C E 0 0 1
ABCC2 C E 3.02164 2.63436 0.309274
ABCC3 C E 51.3336 55.166 0.529695
ABCC4 C E 5.94168 6.48531 0.517215
ABCC5 C E 13.4528 15.0913 0.429141
ABCC5-AS1 C E 0 0 1
ABCC6 C E 1.56427 0.927633 0.295217
ABCC6P1 C E 0.0151347 0.0226691 1
ABCC6P2 C E 1.71197 1.09682 0.221043
ABCC8 C E 0 0 1
ABCC9 C E 1.07938 0.275106 0.000259295
ABCD1 C E 16.3425 14.6075 0.344547
ABCD2 C E 0.00844022 0.00402566 1
ABCD3 C E 33.5469 32.2186 0.803747
ABCD4 C E 5.76897 7.22953 0.0666363
ABCE1 C E 22.5391 15.7012 0.000259295
ABCF1 C E 0 0 1
ABCF2 C E 64.7612 44.9189 0.000259295
ABCF3 C E 33.8313 32.0687 0.672307
ABCG1 C E 11.2232 11.1928 0.986029
ABCG2 C E 7.8226 8.84325 0.30832
ABCG4 C E 0.0385851 0.102307 1
ABCG5 C E 0 0 1
ABCG8 C E 0 0 1
ABHD1 C E 0.0356234 0 1
ABHD10 C E 11.9509 13.4279 0.355192
ABHD11 C E 9.27075 7.34375 0.088704
ABHD11-AS1 C E 0 0 1
ABHD12 C E 38.2933 48.0651 0.179179
ABHD12B C E 0.0883319 0 1
ABHD13 C E 3.21917 4.59212 0.0026388
ABHD14A C E 15.091 16.2911 0.74755
ABHD14A-ACY1 C E 0 0.12788 1
ABHD14B C E 42.9827 42.1868 0.891707
ABHD15 C E 9.03295 17.3415 0.000259295
ABHD16A C E 0 0 1
ABHD16B C E 6.29808 4.19145 0.000920449
ABHD17A C E 28.9596 34.9575 0.0960334
ABHD17B C E 11.5376 11.2028 0.847035
ABHD17C C E 11.8085 13.3237 0.346086
ABHD2 C E 9.56661 16.9157 0.000259295
ABHD3 C E 15.1833 20.2972 0.00662284
ABHD4 C E 24.0638 41.145 0.000259295
ABHD5 C E 13.5725 14.7661 0.476624
ABHD6 C E 7.44798 8.49179 0.321651
ABHD8 C E 35.0454 33.9622 0.818389
ABI1 C E 11.8327 14.5616 0.0893359
ABI2 C E 11.1506 11.03 0.937853
ABI3 C E 0.0102389 0.00920842 1
ABI3BP C E 0.0148397 0.00486328 1
ABL1 C E 53.0295 49.6465 0.559215
ABL2 C E 11.7246 10.0002 0.129284
ABLIM1 C E 27.249 24.2679 0.278623
ABLIM2 C E 1.1491 1.85502 0.00386632
ABLIM3 C E 33.9683 21.3647 0.000259295
ABO C E 0 0 1
ABR C E 21.6176 28.5705 0.00454233
ABRA C E 0.00829101 0 1
ABRACL C E 64.2054 54.8257 0.185998
ABT1 C E 19.8448 16.3527 0.0879523
ABTB1 C E 12.4662 23.4634 0.000259295
ABTB2 C E 9.54467 9.69225 0.912989
ACAA1 C E 24.2308 32.5564 0.00503738
ACAA2 C E 57.9426 41.5002 0.000489787
ACACA C E 28.0191 18.1222 0.000259295
ACACB C E 4.71962 5.00035 0.666448
ACAD10 C E 6.34227 9.05685 0.000710791
ACAD11 C E 4.4916 7.55728 0.021768
ACAD8 C E 7.742 10.6968 0.00662284
ACAD9 C E 38.177 27.5032 0.00112625
ACADL C E 0.0380596 0.0413549 1
ACADM C E 15.9827 17.7594 0.406464
ACADS C E 8.97564 7.23879 0.0975714
ACADSB C E 0.974998 2.47804 0.000259295
ACADVL C E 245.519 223.142 0.369374
ACAN C E 0 0 1
ACAP1 C E 0.0880734 0.0336559 1
ACAP2 C E 10.5574 16.1542 0.000259295
ACAP3 C E 7.07183 6.81595 0.804169
ACAT1 C E 22.6213 21.1564 0.60639
ACAT2 C E 0.326683 0.233858 1
ACBD3 C E 28.246 33.2569 0.115863
ACBD4 C E 4.83397 5.81636 0.209019
ACBD5 C E 8.46492 10.8216 0.0294867
ACBD6 C E 44.9862 49.6897 0.389916
ACBD7 C E 0.859771 2.0122 0.000259295
ACCS C E 3.15089 5.0007 0.000489787
ACCSL C E 0 0 1
ACD C E 12.5806 10.4159 0.132423
ACE C E 0.123559 0.140262 1
ACE2 C E 0 0 1
ACER1 C E 0 0 1
ACER2 C E 0.381989 1.1179 0.000259295
ACER3 C E 5.73418 9.3915 0.000259295
ACHE C E 0.0156751 0 1
ACIN1 C E 74.0692 43.0263 0.000259295
ACKR1 C E 0 0 1
ACKR2 C E 0.0462196 0.130188 1
ACKR3 C E 29.4622 15.0149 0.000259295
ACKR4 C E 0.0969649 0.365859 1
ACLY C E 99.1732 68.3064 0.000259295
ACMSD C E 0 0 1
ACO1 C E 20.4039 27.7434 0.00245749
ACO2 C E 63.4626 60.4768 0.749724
ACOT1 C E 9.12694 6.34917 0.117539
ACOT11 C E 1.1045 0.972216 0.530206
ACOT12 C E 0 0 1
ACOT13 C E 17.5892 23.6624 0.136573
ACOT2 C E 23.0559 17.9739 0.0286509
ACOT4 C E 4.05359 5.59861 0.0250404
ACOT6 C E 0.0305473 0 1
ACOT7 C E 42.5405 38.7847 0.444903
ACOT8 C E 19.0481 17.625 0.710187
ACOT9 C E 46.7269 42.5456 0.433768
ACOX1 C E 18.3517 14.9203 0.0584505
ACOX2 C E 0.0587712 0.0475725 1
ACOX3 C E 4.73261 4.35432 0.581657
ACOXL C E 0.00981995 0.00868772 1
ACP1 C E 78.7197 70.9966 0.366346
ACP2 C E 23.4492 30.2004 0.0546711
ACP5 C E 0 0 1
ACP6 C E 15.8026 12.0127 0.0193694
ACPP C E 0.228682 0.0856893 1
ACPT C E 0 0 1
ACR C E 0.3214 0.51828 1
ACRBP C E 0.0507399 0.192111 1
ACRC C E 1.31602 1.5453 0.936049
ACRV1 C E 0.13846 0.0221862 1
ACSBG1 C E 0.111222 0.262025 1
ACSBG2 C E 0.0444513 0.0239475 1
ACSF2 C E 13.3412 9.39734 0.00227367
ACSF3 C E 3.58425 3.46828 0.841514
ACSL1 C E 18.8232 16.4791 0.235148
ACSL3 C E 26.185 24.2042 0.504403
ACSL4 C E 17.2527 13.8069 0.0304266
ACSL5 C E 9.21817 5.32059 0.000259295
ACSL6 C E 0 0 1
ACSM1 C E 0 0 1
ACSM2A C E 0 0 1
ACSM2B C E 0 0 1
ACSM3 C E 0.139291 0.0273713 1
ACSM4 C E 0 0 1
ACSM5 C E 0.0182651 0 1
ACSM6 C E 0 0 1
ACSS1 C E 0 0.00632373 1
ACSS2 C E 6.15414 13.8879 0.000259295
ACSS3 C E 0 0 1
ACTA1 C E 0.138575 0.0450008 1
ACTA2 C E 3.43405 9.29257 0.000259295
ACTA2-AS1 C E 0.0119251 0.0724505 1
ACTB C E 6667.01 2776.51 0.000259295
ACTBL2 C E 0.298093 0.059267 1
ACTC1 C E 1.91567 0.311118 0.000259295
ACTG1 C E 1708.76 1216.08 0.000489787
ACTG1P17 C E 0.191482 0.110814 1
ACTG1P20 C E 1.20592 0.955405 0.627606
ACTG1P4 C E 0.0109089 0.0120641 1
ACTG2 C E 0.243242 0 1
ACTL10 C E 0.883457 1.88774 0.108563
ACTL6A C E 51.6326 36.4318 0.000489787
ACTL6B C E 0 0.0135374 1
ACTL7A C E 0 0 1
ACTL7B C E 0.0184432 0 1
ACTL8 C E 1.02322 0.0106728 0.230218
ACTL9 C E 0 0 1
ACTN1 C E 189.72 128.218 0.000259295
ACTN1-AS1 C E 0 0 1
ACTN2 C E 0.00440377 0 1
ACTN3 C E 0.00694835 0.0388737 1
ACTN4 C E 301.416 150.199 0.000259295
ACTR10 C E 25.5358 31.1691 0.0647167
ACTR1A C E 44.6528 39.3619 0.245584
ACTR1B C E 26.5487 26.3206 0.951636
