ID	C1	C2	C3	E1	E2	E3	F1	F2	F3
A1BG	0.000000	0.037587	0.000000	0.000000	0.000000	0.068191	0.044959	0.000000	0.000000
A1BG-AS1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
A1CF	0.027147	0.018363	0.014205	0.005989	0.020344	0.022255	0.021988	0.005831	0.000000
A2M	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
A2M-AS1	0.485616	0.175076	0.169602	0.229172	0.290492	0.238342	0.069860	0.221966	0.221579
A2ML1	0.017479	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
A2MP1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
A3GALT2	0.170002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083262
A4GALT	43.235400	43.729500	43.087400	25.195400	20.121700	29.170400	43.770000	45.604500	63.714100
A4GNT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035581	0.000000
AA06	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AAAS	24.757500	26.925400	28.419900	19.668400	18.364300	24.136600	28.341000	29.175800	40.171900
AACS	19.366000	20.520800	18.887300	18.052400	16.003700	19.596000	21.121200	20.753600	26.190100
AACSP1	0.097852	0.205786	0.102526	0.000000	0.000000	0.000000	0.070382	0.000000	0.000000
AADAC	0.046854	0.126628	0.000000	0.000000	0.000000	0.000000	0.000000	0.080138	0.000000
AADACL2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AADACL2-AS1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AADACL3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016871
AADACL4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AADACP1	0.000000	0.055806	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AADAT	3.857970	3.924990	4.547970	3.307200	3.741780	2.782350	3.676330	3.586850	2.623070
AAED1	14.850800	14.325200	17.592800	11.462100	12.453700	12.057400	14.748000	14.077300	13.109800
AAGAB	24.700500	23.771700	25.194500	28.958600	30.158000	29.641100	25.640700	26.903400	19.551600
AAK1	5.044550	5.156400	4.642260	5.330820	5.954710	5.678380	4.452430	5.039720	4.473390
AAMDC	13.545700	12.103900	15.956600	28.538400	32.964200	33.465200	14.817200	13.961500	17.951200
AAMP	45.128300	51.265800	49.131500	51.566000	46.153400	56.497200	52.515100	49.800700	63.334400
AANAT	0.084646	0.076150	0.266493	0.000000	0.083976	0.206762	0.000000	0.162275	0.414557
AAR2	18.856300	20.286700	20.808700	22.992500	20.894800	22.081000	23.066700	21.870100	27.764600
AARD	0.000000	0.037080	0.086257	0.036432	0.000000	0.000000	0.000000	0.035222	0.000000
AARS	82.148200	84.479900	89.334100	141.570000	143.625000	159.768000	91.339100	95.327500	109.999000
AARS2	6.256520	6.856950	6.366380	5.746430	5.596480	6.686640	6.765400	6.767940	9.356030
AARSD1	26.790100	29.631100	24.585200	18.777100	15.943600	20.421800	27.843300	25.822600	38.246500
AASDH	2.965140	2.121940	1.963550	3.409870	3.516040	2.990800	2.512340	2.145250	1.443430
AASDHPPT	24.331500	20.196100	21.043400	25.059800	26.678900	19.879400	17.810800	16.400700	11.996300
AASS	0.000000	0.000000	0.000000	0.000000	0.010928	0.000000	0.000000	0.000000	0.000000
AATBC	0.156028	0.243052	0.178241	0.137915	0.311639	0.290542	0.199381	0.231594	0.304919
AATF	52.069400	55.573500	53.409900	51.332400	45.159700	53.855000	54.706500	54.061000	59.478900
AATK	0.025408	0.068831	0.106577	0.078702	0.038091	0.135541	0.123839	0.087471	0.062135
AATK-AS1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041014	0.000000
ABALON	3.724920	5.002540	4.434890	5.019720	5.093620	4.481710	3.811440	4.854150	6.896420
ABAT	0.054012	0.024353	0.014135	0.190982	0.094411	0.121719	0.014597	0.092843	0.033795
ABCA1	19.044700	16.808600	16.538000	10.865600	11.098000	10.328600	13.317300	12.399900	9.255280
ABCA10	0.050519	0.036453	0.010579	0.053573	0.070659	0.066251	0.010930	0.026064	0.009871
ABCA11P	2.951190	2.970250	2.891860	3.799660	4.315560	3.321530	2.272800	2.723930	1.986550
ABCA12	0.007825	0.000000	0.000000	0.006914	0.007819	0.006415	0.000000	0.013461	0.013516
ABCA13	0.000000	0.000000	0.000000	0.003186	0.003605	0.002958	0.000000	0.000000	0.000000
ABCA17P	0.000000	0.028286	0.016423	0.000000	0.000000	0.000000	0.016954	0.000000	0.000000
ABCA2	15.226000	15.036000	13.090800	9.999310	9.610950	10.676400	14.696500	14.853800	18.617800
ABCA3	1.002210	0.886603	0.696200	3.704350	3.157940	3.791440	0.750628	0.729237	1.035630
ABCA4	0.511692	0.508494	0.626542	0.505792	0.545931	0.590075	0.844527	0.760813	0.737133
ABCA5	0.925940	1.025800	1.044760	1.620050	2.435040	1.492720	0.929361	0.512418	0.294811
ABCA6	0.000000	0.011003	0.000000	0.010782	0.024372	0.000000	0.000000	0.000000	0.000000
ABCA7	4.645990	4.848370	4.913370	6.319340	6.220280	7.110760	5.218570	5.675500	7.306210
ABCA8	0.000000	0.000000	0.000000	0.009926	0.022447	0.009204	0.000000	0.019317	0.000000
ABCA9	0.010154	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008731	0.000000
ABCA9-AS1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ABCB1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ABCB10	6.069340	5.009290	5.655950	9.033770	9.739820	7.288700	5.170360	4.314990	4.490250
ABCB11	0.000000	0.000000	0.000000	0.000000	0.000000	0.011162	0.000000	0.035122	0.000000
ABCB4	0.000000	0.000000	0.018110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ABCB5	0.044885	0.000000	0.000000	0.000000	0.014940	0.000000	0.000000	0.038567	0.000000
ABCB6	10.507000	11.173500	10.300000	14.771600	13.688700	14.778500	12.659300	11.908500	17.225900
ABCB7	27.295200	28.553200	29.749700	22.336100	24.038600	22.334300	28.990200	27.285700	22.306100
ABCB8	10.859300	10.769600	9.659090	12.140600	11.684600	13.360400	12.480000	12.489100	16.053300
ABCB9	7.898260	7.891830	8.338940	8.125150	7.386250	9.606550	9.771770	7.819330	11.254100
ABCC1	40.764900	44.623500	43.924800	28.775700	27.332900	30.965000	42.269400	46.231300	53.571000
ABCC10	3.749920	3.762340	3.899240	4.203720	4.746720	4.964170	4.198310	3.983930	5.445000
ABCC11	0.000000	0.026416	0.076694	0.000000	0.029252	0.048001	0.000000	0.012582	0.014309
ABCC12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ABCC13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
